date,network,iatv_id,program_name,n
2016-10-11,MSNBCW,MSNBCW_20161011_020000_The_Last_Word_With_Lawrence_ODonnell,The Last Word With Lawrence O'Donnell,7.0
2016-11-24,CNNW,CNNW_20161124_000000_Erin_Burnett_OutFront,Erin Burnett OutFront,1.0
2016-11-12,CNNW,CNNW_20161112_000000_Erin_Burnett_OutFront,Erin Burnett OutFront,0.0
2016-10-12,MSNBCW,MSNBCW_20161012_020000_The_Last_Word_With_Lawrence_ODonnell,The Last Word With Lawrence O'Donnell,9.0
2016-09-21,FOXNEWSW,FOXNEWSW_20160921_000000_The_OReilly_Factor,The O'Reilly Factor,2.0
2016-10-28,CNNW,CNNW_20161028_230000_Erin_Burnett_OutFront,Erin Burnett OutFront,0.0
2016-10-10,CNNW,CNNW_20161010_230000_Erin_Burnett_OutFront,Erin Burnett OutFront,5.0
2016-09-13,FOXNEWSW,FOXNEWSW_20160913_000000_The_OReilly_Factor,The O'Reilly Factor,0.0
2016-09-13,MSNBCW,MSNBCW_20160913_050000_The_Last_Word_With_Lawrence_ODonnell,The Last Word With Lawrence O'Donnell,0.0
2016-09-19,CNNW,CNNW_20160919_230000_Erin_Burnett_OutFront,Erin Burnett OutFront,0.0
2016-10-21,MSNBCW,MSNBCW_20161021_050000_The_Last_Word_With_Lawrence_ODonnell,The Last Word With Lawrence O'Donnell,0.0
2016-09-07,MSNBCW,MSNBCW_20160907_050000_The_Last_Word_With_Lawrence_ODonnell,The Last Word With Lawrence O'Donnell,0.0
2016-10-19,FOXNEWSW,FOXNEWSW_20161019_030000_The_OReilly_Factor,The O'Reilly Factor,5.0
2016-11-01,MSNBCW,MSNBCW_20161101_050000_The_Last_Word_With_Lawrence_ODonnell,The Last Word With Lawrence O'Donnell,5.0
2016-11-05,MSNBCW,MSNBCW_20161105_070000_The_Rachel_Maddow_Show,The Rachel Maddow Show,2.0
2016-11-15,MSNBCW,MSNBCW_20161115_030000_The_Last_Word_With_Lawrence_ODonnell,The Last Word With Lawrence O'Donnell,2.0
2016-09-20,FOXNEWSW,FOXNEWSW_20160920_030000_The_OReilly_Factor,The O'Reilly Factor,4.0
2016-10-13,CNNW,CNNW_20161013_070000_Anderson_Cooper_360,Anderson Cooper 360,0.0
2016-10-26,FOXNEWSW,FOXNEWSW_20161026_040000_The_Kelly_File,The Kelly File,2.0
2016-10-27,CNNW,CNNW_20161027_000000_Anderson_Cooper_360,Anderson Cooper 360,0.0
2016-09-16,MSNBCW,MSNBCW_20160916_080000_The_Rachel_Maddow_Show,The Rachel Maddow Show,1.0
2016-11-12,MSNBCW,MSNBCW_20161112_030000_The_Last_Word_With_Lawrence_ODonnell,The Last Word With Lawrence O'Donnell,0.0
2016-10-06,MSNBCW,MSNBCW_20161006_040000_The_Rachel_Maddow_Show,The Rachel Maddow Show,1.0
2016-10-22,FOXNEWSW,FOXNEWSW_20161022_080000_The_Kelly_File,The Kelly File,6.0
2016-11-05,MSNBCW,MSNBCW_20161105_100000_The_Rachel_Maddow_Show,The Rachel Maddow Show,0.0
2016-11-29,MSNBCW,MSNBCW_20161129_030000_The_Last_Word_With_Lawrence_ODonnell,The Last Word With Lawrence O'Donnell,1.0
2016-11-01,MSNBCW,MSNBCW_20161101_080000_The_Rachel_Maddow_Show,The Rachel Maddow Show,1.0
2016-10-18,CNNW,CNNW_20161018_230000_Erin_Burnett_OutFront,Erin Burnett OutFront,3.0
2016-09-06,CNNW,CNNW_20160906_230000_Erin_Burnett_OutFront,Erin Burnett OutFront,3.0
2016-10-20,FOXNEWSW,FOXNEWSW_20161020_000000_The_OReilly_Factor,The O'Reilly Factor,4.0
2016-11-30,MSNBCW,MSNBCW_20161130_020000_The_Rachel_Maddow_Show,The Rachel Maddow Show,0.0
2016-11-10,CNNW,CNNW_20161110_000000_Erin_Burnett_OutFront,Erin Burnett OutFront,0.0
2016-10-26,CNNW,CNNW_20161026_040000_Anderson_Cooper_360,Anderson Cooper 360,0.0
2016-11-03,CNNW,CNNW_20161103_230000_Erin_Burnett_OutFront,Erin Burnett OutFront,8.0
2016-10-25,FOXNEWSW,FOXNEWSW_20161025_000000_The_OReilly_Factor,The O'Reilly Factor,2.0
2016-10-18,FOXNEWSW,FOXNEWSW_20161018_040000_The_Kelly_File,The Kelly File,0.0
2016-09-20,CNNW,CNNW_20160920_230000_Erin_Burnett_OutFront,Erin Burnett OutFront,0.0
2016-10-04,MSNBCW,MSNBCW_20161004_010000_The_Rachel_Maddow_Show,The Rachel Maddow Show,1.0
2016-09-29,MSNBCW,MSNBCW_20160929_080000_The_Rachel_Maddow_Show,The Rachel Maddow Show,1.0
2016-09-28,CNNW,CNNW_20160928_230000_Erin_Burnett_OutFront,Erin Burnett OutFront,6.0
2016-09-10,CNNW,CNNW_20160910_010000_Anderson_Cooper_360,Anderson Cooper 360,0.0
2016-10-24,CNNW,CNNW_20161024_230000_Erin_Burnett_OutFront,Erin Burnett OutFront,3.0
2016-10-14,CNNW,CNNW_20161014_050000_Anderson_Cooper_360,Anderson Cooper 360,0.0
2016-10-18,FOXNEWSW,FOXNEWSW_20161018_030000_The_OReilly_Factor,The O'Reilly Factor,6.0
2016-11-07,MSNBCW,MSNBCW_20161107_060000_The_Last_Word_With_Lawrence_ODonnell,The Last Word With Lawrence O'Donnell,0.0
2016-11-15,FOXNEWSW,FOXNEWSW_20161115_090000_The_Kelly_File,The Kelly File,0.0
2016-10-15,MSNBCW,MSNBCW_20161015_020000_The_Last_Word_With_Lawrence_ODonnell,The Last Word With Lawrence O'Donnell,4.0
2016-09-29,FOXNEWSW,FOXNEWSW_20160929_040000_The_Kelly_File,The Kelly File,13.0
2016-11-29,FOXNEWSW,FOXNEWSW_20161129_010000_The_OReilly_Factor,The O'Reilly Factor,0.0
2016-10-25,CNNW,CNNW_20161025_230000_Erin_Burnett_OutFront,Erin Burnett OutFront,4.0
2016-09-09,CNNW,CNNW_20160909_000000_Anderson_Cooper_360,Anderson Cooper 360,0.0
2016-11-16,CNNW,CNNW_20161116_060000_Anderson_Cooper_360,Anderson Cooper 360,0.0
2016-09-13,CNNW,CNNW_20160913_040000_Anderson_Cooper_360,Anderson Cooper 360,0.0
2016-10-22,FOXNEWSW,FOXNEWSW_20161022_030000_The_OReilly_Factor,The O'Reilly Factor,3.0
2016-09-14,MSNBCW,MSNBCW_20160914_040000_The_Rachel_Maddow_Show,The Rachel Maddow Show,0.0
2016-10-12,CNNW,CNNW_20161012_040000_Anderson_Cooper_360,Anderson Cooper 360,0.0
2016-10-22,MSNBCW,MSNBCW_20161022_010000_The_Rachel_Maddow_Show,The Rachel Maddow Show,1.0
2016-11-05,FOXNEWSW,FOXNEWSW_20161105_030000_The_OReilly_Factor,The O'Reilly Factor,5.0
2016-09-21,MSNBCW,MSNBCW_20160921_080000_The_Last_Word_With_Lawrence_ODonnell,The Last Word With Lawrence O'Donnell,0.0
2016-11-24,MSNBCW,MSNBCW_20161124_050000_The_Rachel_Maddow_Show,The Rachel Maddow Show,0.0
2016-10-11,CNNW,CNNW_20161011_230000_Erin_Burnett_OutFront,Erin Burnett OutFront,2.0
